director_name,actor_1_name,actor_2_name,actor_3_name,genres,movie_title,comb
Ron Clements,Oprah Winfrey,Jenifer Lewis,Anika Noni Rose,Animation Family Fantasy Musical Romance,the princess and the frog,Oprah WinfreyJenifer LewisAnika Noni RoseRon ClementsAnimation Family Fantasy Musical Romance
Ridley Scott,Matt Damon,Donald Glover,Benedict Wong,Adventure Drama Sci-Fi,the martian,Matt DamonDonald GloverBenedict WongRidley ScottAdventure Drama Sci-Fi
Christopher Barnard,Mathew Buck,unknown,unknown,Comedy,"10,000 b.c.            ",Mathew BuckunknownunknownChristopher BarnardComedy
Peter Chelsom,Del Zamora,Warren Beatty,Garry Shandling,Comedy Romance,town & country,Del ZamoraWarren BeattyGarry ShandlingPeter ChelsomComedy Romance
Dominic Sena,Nicolas Cage,Angelina Jolie Pitt,Robert Duvall,Action Crime Thriller,gone in sixty seconds,Nicolas CageAngelina Jolie PittRobert DuvallDominic SenaAction Crime Thriller
Ridley Scott,Djimon Hounsou,Connie Nielsen,Oliver Reed,Action Drama Romance,gladiator,Djimon HounsouConnie NielsenOliver ReedRidley ScottAction Drama Romance
Steven Spielberg,Tom Cruise,Frank Grillo,Jessica Capshaw,Action Mystery Sci-Fi Thriller,minority report,Tom CruiseFrank GrilloJessica CapshawSteven SpielbergAction Mystery Sci-Fi Thriller
Chris Columbus,Daniel Radcliffe,Rupert Grint,Emma Watson,Adventure Family Fantasy Mystery,harry potter and the chamber of secrets,Daniel RadcliffeRupert GrintEmma WatsonChris ColumbusAdventure Family Fantasy Mystery
James Cameron,Joe Morton,Jenette Goldstein,S. Epatha Merkerson,Action Sci-Fi,terminator 2: judgment day,Joe MortonJenette GoldsteinS. Epatha MerkersonJames CameronAction Sci-Fi
Michael Mann,Johnny Depp,Christian Bale,Stephen Graham,Biography Crime Drama History Romance,public enemies,Johnny DeppChristian BaleStephen GrahamMichael MannBiography Crime Drama History Romance
Ridley Scott,Denzel Washington,Ruby Dee,RZA,Biography Crime Drama,american gangster,Denzel WashingtonRuby DeeRZARidley ScottBiography Crime Drama
James Cameron,Jamie Lee Curtis,Tia Carrere,Tom Arnold,Action Comedy Thriller,true lies,Jamie Lee CurtisTia CarrereTom ArnoldJames CameronAction Comedy Thriller
Tony Scott,Denzel Washington,Ramon Rodriguez,Michael Rispoli,Action Crime Thriller,the taking of pelham 1 2 3,Denzel WashingtonRamon RodriguezMichael RispoliTony ScottAction Crime Thriller
Paul Weitz,Robert De Niro,Blythe Danner,Teri Polo,Comedy Romance,little fockers,Robert De NiroBlythe DannerTeri PoloPaul WeitzComedy Romance
Adam McKay,Dwayne Johnson,Will Ferrell,Derek Jeter,Action Comedy Crime,the other guys,Dwayne JohnsonWill FerrellDerek JeterAdam McKayAction Comedy Crime
Chuck Russell,Vanessa Williams,James Coburn,Roma Maffia,Action Drama Mystery Thriller,eraser,Vanessa WilliamsJames CoburnRoma MaffiaChuck RussellAction Drama Mystery Thriller
Quentin Tarantino,Leonardo DiCaprio,Christoph Waltz,Ato Essandoh,Drama Western,django unchained,Leonardo DiCaprioChristoph WaltzAto EssandohQuentin TarantinoDrama Western
Gary Trousdale,Demi Moore,Jason Alexander,Bill Fagerbakke,Animation Drama Family Musical Romance,the hunchback of notre dame,Demi MooreJason AlexanderBill FagerbakkeGary TrousdaleAnimation Drama Family Musical Romance
Mark Dindal,Eartha Kitt,Wendie Malick,John Fiedler,Adventure Animation Comedy Family Fantasy,the emperor's new groove,Eartha KittWendie MalickJohn FiedlerMark DindalAdventure Animation Comedy Family Fantasy
Simon West,Jason Statham,Sylvester Stallone,Bruce Willis,Action Adventure Thriller,the expendables 2,Jason StathamSylvester StalloneBruce WillisSimon WestAction Adventure Thriller
Jon Turteltaub,Nicolas Cage,Armando Riesco,Annie Parisse,Action Adventure Comedy Family Mystery,national treasure,Nicolas CageArmando RiescoAnnie ParisseJon TurteltaubAction Adventure Comedy Family Mystery
Stefen Fangmeier,Djimon Hounsou,Ed Speleers,Gary Lewis,Action Adventure Family Fantasy,eragon,Djimon HounsouEd SpeleersGary LewisStefen FangmeierAction Adventure Family Fantasy
Spike Jonze,Catherine O'Hara,Ryan Corr,Max Records,Adventure Drama Family Fantasy,where the wild things are,Catherine O'HaraRyan CorrMax RecordsSpike JonzeAdventure Drama Family Fantasy
Chris Wedge,Josh Hutcherson,Emma Kenney,Troy Evans,Adventure Animation Family Fantasy,epic,Josh HutchersonEmma KenneyTroy EvansChris WedgeAdventure Animation Family Fantasy
Peter Hyams,CCH Pounder,Mark Margolis,Udo Kier,Action Fantasy Horror Mystery,end of days,CCH PounderMark MargolisUdo KierPeter HyamsAction Fantasy Horror Mystery
Edward Zwick,Leonardo DiCaprio,Djimon Hounsou,Stephen Collins,Adventure Drama Thriller,blood diamond,Leonardo DiCaprioDjimon HounsouStephen CollinsEdward ZwickAdventure Drama Thriller
Martin Scorsese,Leonardo DiCaprio,Matthew McConaughey,Jon Favreau,Biography Comedy Crime Drama,the wolf of wall street,Leonardo DiCaprioMatthew McConaugheyJon FavreauMartin ScorseseBiography Comedy Crime Drama
Joel Schumacher,Michael Gough,Rene Auberjonois,Debi Mazar,Action Adventure Fantasy,batman forever,Michael GoughRene AuberjonoisDebi MazarJoel SchumacherAction Adventure Fantasy
Paul Verhoeven,Jake Busey,Patrick Muldoon,Seth Gilliam,Action Sci-Fi War,starship troopers,Jake BuseyPatrick MuldoonSeth GilliamPaul VerhoevenAction Sci-Fi War
Tom Tykwer,Tom Hanks,Jim Sturgess,Jim Broadbent,Drama Sci-Fi,cloud atlas,Tom HanksJim SturgessJim BroadbentTom TykwerDrama Sci-Fi
Zack Snyder,Abbie Cornish,Richard Roxburgh,Anthony LaPaglia,Action Adventure Animation Family Fantasy,legend of the guardians: the owls of ga'hoole,Abbie CornishRichard RoxburghAnthony LaPagliaZack SnyderAction Adventure Animation Family Fantasy
Pitof,Frances Conroy,Christopher Heyerdahl,Alex Borstein,Action Crime Fantasy Romance Thriller,catwoman,Frances ConroyChristopher HeyerdahlAlex BorsteinPitofAction Crime Fantasy Romance Thriller
Ron Clements,Joseph Gordon-Levitt,Martin Short,Michael Wincott,Adventure Animation Family Sci-Fi,treasure planet,Joseph Gordon-LevittMartin ShortMichael WincottRon ClementsAdventure Animation Family Sci-Fi
Brad Silberling,Will Ferrell,Anna Friel,Bobb'e J. Thompson,Adventure Comedy Sci-Fi,land of the lost,Will FerrellAnna FrielBobb'e J. ThompsonBrad SilberlingAdventure Comedy Sci-Fi
Patrick Hughes,Jason Statham,Sylvester Stallone,Harrison Ford,Action Adventure Thriller,the expendables 3,Jason StathamSylvester StalloneHarrison FordPatrick HughesAction Adventure Thriller
Lawrence Guterman,Jamie Kennedy,Traylor Howard,Ben Stein,Comedy Family Fantasy,son of the mask,Jamie KennedyTraylor HowardBen SteinLawrence GutermanComedy Family Fantasy
Ron Howard,Chris Hemsworth,Benjamin Walker,Frank Dillane,Action Adventure Biography Drama History Thriller,in the heart of the sea,Chris HemsworthBenjamin WalkerFrank DillaneRon HowardAction Adventure Biography Drama History Thriller
Ron Underwood,Rosario Dawson,Randy Quaid,Burt Young,Action Comedy Sci-Fi,the adventures of pluto nash,Rosario DawsonRandy QuaidBurt YoungRon UnderwoodAction Comedy Sci-Fi
Paul Greengrass,Matt Damon,Sean Huze,Igal Naor,Action Drama Thriller War,green zone,Matt DamonSean HuzeIgal NaorPaul GreengrassAction Drama Thriller War
Steve Martino,Francesca Capaldi,Venus Schultheis,Bill Melendez,Adventure Animation Comedy Family,the peanuts movie,Francesca CapaldiVenus SchultheisBill MelendezSteve MartinoAdventure Animation Comedy Family
David Mamet,Ben Gazzara,Felicity Huffman,Campbell Scott,Drama Mystery Thriller,the spanish prisoner,Ben GazzaraFelicity HuffmanCampbell ScottDavid MametDrama Mystery Thriller
Stephen Sommers,Dwayne Johnson,Brendan Fraser,Patricia Velasquez,Action Adventure Fantasy Thriller,the mummy returns,Dwayne JohnsonBrendan FraserPatricia VelasquezStephen SommersAction Adventure Fantasy Thriller
Martin Scorsese,Leonardo DiCaprio,Liam Neeson,Jim Broadbent,Crime Drama,gangs of new york,Leonardo DiCaprioLiam NeesonJim BroadbentMartin ScorseseCrime Drama
Yimou Zhang,Christian Bale,Ni Ni,Shigeo Kobayashi,Drama History Romance War,the flowers of war,Christian BaleNi NiShigeo KobayashiYimou ZhangDrama History Romance War
Ash Brannon,Jeff Bridges,Zooey Deschanel,Jon Heder,Animation Comedy Family Sport,surf's up,Jeff BridgesZooey DeschanelJon HederAsh BrannonAnimation Comedy Family Sport
Frank Oz,Jon Lovitz,Matthew Broderick,Roger Bart,Comedy Sci-Fi Thriller,the stepford wives,Jon LovitzMatthew BroderickRoger BartFrank OzComedy Sci-Fi Thriller
Ridley Scott,Ioan Gruffudd,Sam Shepard,Ewen Bremner,Drama History War,black hawk down,Ioan GruffuddSam ShepardEwen BremnerRidley ScottDrama History War
Jay Roach,Will Ferrell,Thomas Middleditch,Katherine LaNasa,Comedy,the campaign,Will FerrellThomas MiddleditchKatherine LaNasaJay RoachComedy
Luc Besson,Milla Jovovich,Bruce Willis,Gary Oldman,Action Adventure Sci-Fi,the fifth element,Milla JovovichBruce WillisGary OldmanLuc BessonAction Adventure Sci-Fi
Michael Patrick King,Chris Noth,Liza Minnelli,Kristin Davis,Comedy Drama Romance,sex and the city 2,Chris NothLiza MinnelliKristin DavisMichael Patrick KingComedy Drama Romance
Bibo Bergeron,Frank Welker,Rosie Perez,Elton John,Adventure Animation Comedy Family Romance,the road to el dorado,Frank WelkerRosie PerezElton JohnBibo BergeronAdventure Animation Comedy Family Romance
Steve Martino,Peter Dinklage,Josh Gad,Drake,Adventure Animation Comedy Family,ice age: continental drift,Peter DinklageJosh GadDrakeSteve MartinoAdventure Animation Comedy Family
Andrew Stanton,Alexander Gould,Stephen Root,Brad Garrett,Adventure Animation Comedy Family,finding nemo,Alexander GouldStephen RootBrad GarrettAndrew StantonAdventure Animation Comedy Family
Peter Jackson,Orlando Bloom,Billy Boyd,Bernard Hill,Action Adventure Drama Fantasy,the lord of the rings: the return of the king,Orlando BloomBilly BoydBernard HillPeter JacksonAction Adventure Drama Fantasy
Peter Jackson,Christopher Lee,Orlando Bloom,Billy Boyd,Action Adventure Drama Fantasy,the lord of the rings: the two towers,Christopher LeeOrlando BloomBilly BoydPeter JacksonAction Adventure Drama Fantasy
Sergey Bodrov,Jeff Bridges,Djimon Hounsou,Olivia Williams,Action Adventure Fantasy,seventh son,Jeff BridgesDjimon HounsouOlivia WilliamsSergey BodrovAction Adventure Fantasy
Simon West,Angelina Jolie Pitt,Noah Taylor,Chris Barrie,Action Adventure Fantasy Thriller,lara croft: tomb raider,Angelina Jolie PittNoah TaylorChris BarrieSimon WestAction Adventure Fantasy Thriller
Wally Pfister,Johnny Depp,Morgan Freeman,Clifton Collins Jr.,Drama Mystery Romance Sci-Fi Thriller,transcendence,Johnny DeppMorgan FreemanClifton Collins Jr.Wally PfisterDrama Mystery Romance Sci-Fi Thriller
Joe Johnston,Michael Jeter,Trevor Morgan,Alessandro Nivola,Action Adventure Sci-Fi Thriller,jurassic park iii,Michael JeterTrevor MorganAlessandro NivolaJoe JohnstonAction Adventure Sci-Fi Thriller
Rupert Wyatt,James Franco,David Oyelowo,Tyler Labine,Action Drama Sci-Fi Thriller,rise of the planet of the apes,James FrancoDavid OyelowoTyler LabineRupert WyattAction Drama Sci-Fi Thriller
Mark Waters,Martin Short,Tod Fennell,Joan Plowright,Adventure Family Fantasy,the spiderwick chronicles,Martin ShortTod FennellJoan PlowrightMark WatersAdventure Family Fantasy
John Moore,Bruce Willis,Cole Hauser,Megalyn Echikunwoke,Action Thriller,a good day to die hard,Bruce WillisCole HauserMegalyn EchikunwokeJohn MooreAction Thriller
Brad Bird,Holly Hunter,Craig T. Nelson,Lou Romano,Action Adventure Animation Family,the incredibles,Holly HunterCraig T. NelsonLou RomanoBrad BirdAction Adventure Animation Family
Renny Harlin,Christopher Masterson,Frank Langella,Matthew Modine,Action Adventure Comedy,cutthroat island,Christopher MastersonFrank LangellaMatthew ModineRenny HarlinAction Adventure Comedy
Chris Columbus,Logan Lerman,Rosario Dawson,Steve Coogan,Adventure Family Fantasy,percy jackson & the olympians: the lightning thief,Logan LermanRosario DawsonSteve CooganChris ColumbusAdventure Family Fantasy
Barry Sonnenfeld,Will Smith,Rip Torn,Linda Fiorentino,Adventure Comedy Family Mystery Sci-Fi,men in black,Will SmithRip TornLinda FiorentinoBarry SonnenfeldAdventure Comedy Family Mystery Sci-Fi
John Lasseter,Tom Hanks,John Ratzenberger,Wayne Knight,Adventure Animation Comedy Family Fantasy,toy story 2,Tom HanksJohn RatzenbergerWayne KnightJohn LasseterAdventure Animation Comedy Family Fantasy
Tony Scott,Denzel Washington,Rosario Dawson,Ethan Suplee,Action Thriller,unstoppable,Denzel WashingtonRosario DawsonEthan SupleeTony ScottAction Thriller
Brett Ratner,Mei Melançon,John Lone,Harris Yulin,Action Comedy Crime Thriller,rush hour 2,Mei MelançonJohn LoneHarris YulinBrett RatnerAction Comedy Crime Thriller
Robert Zemeckis,Harrison Ford,Amber Valletta,Miranda Otto,Drama Fantasy Horror Mystery Thriller,what lies beneath,Harrison FordAmber VallettaMiranda OttoRobert ZemeckisDrama Fantasy Horror Mystery Thriller
Phil Lord,Will Forte,Bobb'e J. Thompson,Al Roker,Animation Comedy Family Sci-Fi,cloudy with a chance of meatballs,Will ForteBobb'e J. ThompsonAl RokerPhil LordAnimation Comedy Family Sci-Fi
Carlos Saldanha,Denis Leary,Maile Flanagan,Kelly Keaton,Action Adventure Animation Comedy Family,ice age: dawn of the dinosaurs,Denis LearyMaile FlanaganKelly KeatonCarlos SaldanhaAction Adventure Animation Comedy Family
Ben Stiller,Adam Scott,Adrian Martinez,Joey Slotnick,Adventure Comedy Drama Fantasy Romance,the secret life of walter mitty,Adam ScottAdrian MartinezJoey SlotnickBen StillerAdventure Comedy Drama Fantasy Romance
McG,Bill Murray,LL Cool J,Kelly Lynch,Action Adventure Comedy Crime Thriller,charlie's angels,Bill MurrayLL Cool JKelly LynchMcGAction Adventure Comedy Crime Thriller
Martin Scorsese,Leonardo DiCaprio,Matt Damon,Ray Winstone,Crime Drama Thriller,the departed,Leonardo DiCaprioMatt DamonRay WinstoneMartin ScorseseCrime Drama Thriller
Tony Bancroft,Ming-Na Wen,Harvey Fierstein,June Foray,Adventure Animation Family Fantasy Musical War,mulan,Ming-Na WenHarvey FiersteinJune ForayTony BancroftAdventure Animation Family Fantasy Musical War
Ben Stiller,Robert Downey Jr.,Steve Coogan,Brandon T. Jackson,Action Comedy,tropic thunder,Robert Downey Jr.Steve CooganBrandon T. JacksonBen StillerAction Comedy
David Fincher,Robin Wright,Goran Visnjic,Joely Richardson,Crime Drama Mystery Thriller,the girl with the dragon tattoo,Robin WrightGoran VisnjicJoely RichardsonDavid FincherCrime Drama Mystery Thriller
John McTiernan,Bruce Willis,Aldis Hodge,Kevin Chamberlin,Action Adventure Thriller,die hard with a vengeance,Bruce WillisAldis HodgeKevin ChamberlinJohn McTiernanAction Adventure Thriller
Guy Ritchie,Robert Downey Jr.,Eddie Marsan,Robert Maillet,Action Adventure Crime Mystery Thriller,sherlock holmes,Robert Downey Jr.Eddie MarsanRobert MailletGuy RitchieAction Adventure Crime Mystery Thriller
Gary Trousdale,Leonard Nimoy,Jim Varney,Cree Summer,Action Adventure Animation Family Fantasy Sci-Fi,atlantis: the lost empire,Leonard NimoyJim VarneyCree SummerGary TrousdaleAction Adventure Animation Family Fantasy Sci-Fi
Walt Becker,Bella Thorne,Joshua Mikel,Jesse McCartney,Adventure Animation Comedy Family Fantasy Music,alvin and the chipmunks: the road chip,Bella ThorneJoshua MikelJesse McCartneyWalt BeckerAdventure Animation Comedy Family Fantasy Music
Bryan Singer,Tom Cruise,Tom Wilkinson,Thomas Kretschmann,Drama History Thriller War,valkyrie,Tom CruiseTom WilkinsonThomas KretschmannBryan SingerDrama History Thriller War
Dennis Dugan,Adam Sandler,Sayed Badreya,Kevin Nealon,Action Comedy,you don't mess with the zohan,Adam SandlerSayed BadreyaKevin NealonDennis DuganAction Comedy
Chris Columbus,Peter Dinklage,Adam Sandler,Josh Gad,Action Animation Comedy Sci-Fi,pixels,Peter DinklageAdam SandlerJosh GadChris ColumbusAction Animation Comedy Sci-Fi
Steven Spielberg,Haley Joel Osment,William Hurt,Kevin Sussman,Adventure Drama Sci-Fi,a.i. artificial intelligence,Haley Joel OsmentWilliam HurtKevin SussmanSteven SpielbergAdventure Drama Sci-Fi
Rob Minkoff,Marsha Thomason,Rachael Harris,Marc John Jefferies,Comedy Family Fantasy Horror Mystery,the haunted mansion,Marsha ThomasonRachael HarrisMarc John JefferiesRob MinkoffComedy Family Fantasy Horror Mystery
Robert Zemeckis,Matthew McConaughey,Tom Skerritt,Larry King,Drama Mystery Sci-Fi Thriller,contact,Matthew McConaugheyTom SkerrittLarry KingRobert ZemeckisDrama Mystery Sci-Fi Thriller
Paul Verhoeven,Greg Grunberg,Kim Dickens,Joey Slotnick,Action Horror Sci-Fi Thriller,hollow man,Greg GrunbergKim DickensJoey SlotnickPaul VerhoevenAction Horror Sci-Fi Thriller
Sydney Pollack,Curtiss Cook,George Harris,Michael Wright,Crime Mystery Thriller,the interpreter,Curtiss CookGeorge HarrisMichael WrightSydney PollackCrime Mystery Thriller
Thor Freudenthal,Logan Lerman,Leven Rambin,Brandon T. Jackson,Adventure Family Fantasy,percy jackson: sea of monsters,Logan LermanLeven RambinBrandon T. JacksonThor FreudenthalAdventure Family Fantasy
Jan de Bont,Gerard Butler,Angelina Jolie Pitt,Djimon Hounsou,Action Adventure Fantasy,lara croft tomb raider: the cradle of life,Gerard ButlerAngelina Jolie PittDjimon HounsouJan de BontAction Adventure Fantasy
Jon M. Chu,Daniel Radcliffe,Morgan Freeman,Sanaa Lathan,Action Adventure Comedy Crime Mystery Thriller,now you see me 2,Daniel RadcliffeMorgan FreemanSanaa LathanJon M. ChuAction Adventure Comedy Crime Mystery Thriller
Tony Scott,Brad Pitt,Stephen Dillane,Catherine McCormack,Action Crime Thriller,spy game,Brad PittStephen DillaneCatherine McCormackTony ScottAction Crime Thriller
Brian De Palma,Don Cheadle,Connie Nielsen,Kim Delaney,Adventure Sci-Fi Thriller,mission to mars,Don CheadleConnie NielsenKim DelaneyBrian De PalmaAdventure Sci-Fi Thriller
Carlos Saldanha,Anne Hathaway,Wanda Sykes,Will.i.am,Adventure Animation Comedy Family Musical,rio,Anne HathawayWanda SykesWill.i.amCarlos SaldanhaAdventure Animation Comedy Family Musical
Chris Columbus,Robin Williams,Oliver Platt,John Michael Higgins,Comedy Drama Sci-Fi,bicentennial man,Robin WilliamsOliver PlattJohn Michael HigginsChris ColumbusComedy Drama Sci-Fi
Mick Jackson,Don Cheadle,Anne Heche,Gaby Hoffmann,Action Drama Sci-Fi Thriller,volcano,Don CheadleAnne HecheGaby HoffmannMick JacksonAction Drama Sci-Fi Thriller
Alan J. Pakula,Harrison Ford,Brad Pitt,Natascha McElhone,Action Crime Drama Thriller,the devil's own,Harrison FordBrad PittNatascha McElhoneAlan J. PakulaAction Crime Drama Thriller
Kathryn Bigelow,Liam Neeson,Christian Camargo,Lex Shrapnel,Drama History Thriller War,k-19: the widowmaker,Liam NeesonChristian CamargoLex ShrapnelKathryn BigelowDrama History Thriller War
Josh Trank,Tim Blake Nelson,Reg E. Cathey,Tim Heidecker,Action Adventure Sci-Fi,fantastic four,Tim Blake NelsonReg E. CatheyTim HeideckerJosh TrankAction Adventure Sci-Fi
Ron Howard,Paddy Considine,Bruce McGill,Rosemarie DeWitt,Biography Drama Sport,cinderella man,Paddy ConsidineBruce McGillRosemarie DeWittRon HowardBiography Drama Sport
Andrey Konchalovskiy,Shirley Henderson,Nathan Lane,Richard E. Grant,Action Family Fantasy Musical,the nutcracker in 3d,Shirley HendersonNathan LaneRichard E. GrantAndrey KonchalovskiyAction Family Fantasy Musical
Gary Ross,Jeff Bridges,Michael Angarano,Michael O'Neill,Drama History Sport,seabiscuit,Jeff BridgesMichael AngaranoMichael O'NeillGary RossDrama History Sport
Jan de Bont,Philip Seymour Hoffman,Alan Ruck,Jami Gertz,Action Adventure Drama Thriller,twister,Philip Seymour HoffmanAlan RuckJami GertzJan de BontAction Adventure Drama Thriller
Robert Zemeckis,Tom Hanks,Paul Sanchez,Nick Searcy,Adventure Drama Romance,cast away,Tom HanksPaul SanchezNick SearcyRobert ZemeckisAdventure Drama Romance
George Miller,Robin Williams,Hugh Jackman,Elizabeth Daily,Animation Comedy Family Music Romance,happy feet,Robin WilliamsHugh JackmanElizabeth DailyGeorge MillerAnimation Comedy Family Music Romance
Paul Greengrass,Matt Damon,Joan Allen,Oksana Akinshina,Action Mystery Thriller,the bourne supremacy,Matt DamonJoan AllenOksana AkinshinaPaul GreengrassAction Mystery Thriller
Wolfgang Petersen,Harrison Ford,Gary Oldman,Dean Stockwell,Action Adventure Drama Thriller,air force one,Harrison FordGary OldmanDean StockwellWolfgang PetersenAction Adventure Drama Thriller
Steven Soderbergh,Brad Pitt,Bernie Mac,Elliott Gould,Crime Thriller,ocean's eleven,Brad PittBernie MacElliott GouldSteven SoderberghCrime Thriller
Paul W.S. Anderson,Milla Jovovich,Logan Lerman,Orlando Bloom,Action Adventure Romance,the three musketeers,Milla JovovichLogan LermanOrlando BloomPaul W.S. AndersonAction Adventure Romance
Genndy Tartakovsky,Steve Buscemi,Adam Sandler,Jon Lovitz,Animation Comedy Family Fantasy,hotel transylvania,Steve BuscemiAdam SandlerJon LovitzGenndy TartakovskyAnimation Comedy Family Fantasy
Kevin Lima,Jeff Bennett,Teala Dunn,Fred Tatasciore,Animation Comedy Family Fantasy Musical Romance,enchanted,Jeff BennettTeala DunnFred TatascioreKevin LimaAnimation Comedy Family Fantasy Musical Romance
unknown,Caroline Dhavernas,Scott Thompson,Hettienne Park,Crime Drama Horror Mystery Thriller,hannibal            ,Caroline DhavernasScott ThompsonHettienne ParkunknownCrime Drama Horror Mystery Thriller
Daniel Espinosa,Denzel Washington,Ryan Reynolds,Sam Shepard,Action Crime Mystery Thriller,safe house,Denzel WashingtonRyan ReynoldsSam ShepardDaniel EspinosaAction Crime Mystery Thriller
Kevin Lima,Ioan Gruffudd,Eric Idle,Jim Carter,Adventure Comedy Family,102 dalmatians,Ioan GruffuddEric IdleJim CarterKevin LimaAdventure Comedy Family
Brett Ratner,Matthew Broderick,Gabourey Sidibe,Judd Hirsch,Action Comedy Crime,tower heist,Matthew BroderickGabourey SidibeJudd HirschBrett RatnerAction Comedy Crime
Nancy Meyers,Kate Winslet,Rufus Sewell,Sarah Parish,Comedy Romance,the holiday,Kate WinsletRufus SewellSarah ParishNancy MeyersComedy Romance
Tony Scott,Will Smith,Jake Busey,Lisa Bonet,Action Crime Drama Mystery Thriller,enemy of the state,Will SmithJake BuseyLisa BonetTony ScottAction Crime Drama Mystery Thriller
Nancy Meyers,Meryl Streep,Hunter Parrish,Zoe Kazan,Comedy Drama Romance,it's complicated,Meryl StreepHunter ParrishZoe KazanNancy MeyersComedy Drama Romance
Steven Soderbergh,Al Pacino,Matt Damon,Brad Pitt,Crime Thriller,ocean's thirteen,Al PacinoMatt DamonBrad PittSteven SoderberghCrime Thriller
Roger Allers,Jon Favreau,Debra Messing,Jane Krakowski,Adventure Animation Comedy Family,open season,Jon FavreauDebra MessingJane KrakowskiRoger AllersAdventure Animation Comedy Family
Neil Burger,Kate Winslet,Theo James,Mekhi Phifer,Adventure Mystery Sci-Fi,divergent,Kate WinsletTheo JamesMekhi PhiferNeil BurgerAdventure Mystery Sci-Fi
Jean-Jacques Annaud,Bob Hoskins,Gabriel Thomson,Clemens Schick,Drama History War,enemy at the gates,Bob HoskinsGabriel ThomsonClemens SchickJean-Jacques AnnaudDrama History War
Peter Berg,Dwayne Johnson,Rosario Dawson,Ewen Bremner,Action Adventure Comedy Thriller,the rundown,Dwayne JohnsonRosario DawsonEwen BremnerPeter BergAction Adventure Comedy Thriller
John McTiernan,F. Murray Abraham,Tom Noonan,Joan Plowright,Action Adventure Comedy Fantasy,last action hero,F. Murray AbrahamTom NoonanJoan PlowrightJohn McTiernanAction Adventure Comedy Fantasy
Rob Marshall,Li Gong,Mako,Karl Yune,Drama Romance,memoirs of a geisha,Li GongMakoKarl YuneRob MarshallDrama Romance
Justin Lin,Amber Stevens West,Zachery Ty Bryan,Nikki Griffin,Action Crime Thriller,the fast and the furious: tokyo drift,Amber Stevens WestZachery Ty BryanNikki GriffinJustin LinAction Crime Thriller
Sarah Smith,Jim Broadbent,Imelda Staunton,Michael Palin,Adventure Animation Comedy Family Fantasy,arthur christmas,Jim BroadbentImelda StauntonMichael PalinSarah SmithAdventure Animation Comedy Family Fantasy
Martin Brest,Anthony Hopkins,Brad Pitt,Jake Weber,Drama Fantasy Romance,meet joe black,Anthony HopkinsBrad PittJake WeberMartin BrestDrama Fantasy Romance
Andrew Davis,Raymond Cruz,Rick Worthy,Jsu Garcia,Action Drama Thriller,collateral damage,Raymond CruzRick WorthyJsu GarciaAndrew DavisAction Drama Thriller
Bob Fosse,Roy Scheider,Ben Vereen,Max Wright,Comedy Drama Music Musical,all that jazz,Roy ScheiderBen VereenMax WrightBob FosseComedy Drama Music Musical
Tarsem Singh,Julia Roberts,Nathan Lane,Danny Woodburn,Adventure Comedy Drama Family Fantasy,mirror mirror,Julia RobertsNathan LaneDanny WoodburnTarsem SinghAdventure Comedy Drama Family Fantasy
Edgar Wright,Anna Kendrick,Kieran Culkin,Ellen Wong,Action Comedy Fantasy Romance,scott pilgrim vs. the world,Anna KendrickKieran CulkinEllen WongEdgar WrightAction Comedy Fantasy Romance
Jon Amiel,Glenn Morshower,Tchéky Karyo,Rekha Sharma,Action Adventure Sci-Fi Thriller,the core,Glenn MorshowerTchéky KaryoRekha SharmaJon AmielAction Adventure Sci-Fi Thriller
Peter Segal,Larry Miller,Janet Jackson,Chris Elliott,Comedy Romance Sci-Fi,nutty professor ii: the klumps,Larry MillerJanet JacksonChris ElliottPeter SegalComedy Romance Sci-Fi
Raja Gosnell,Sarah Michelle Gellar,Linda Cardellini,Miguel A. Núñez Jr.,Adventure Comedy Mystery,scooby-doo,Sarah Michelle GellarLinda CardelliniMiguel A. Núñez Jr.Raja GosnellAdventure Comedy Mystery
Frank Coraci,Adam Sandler,Cameron Monaghan,Julie Kavner,Comedy Drama Fantasy Romance,click,Adam SandlerCameron MonaghanJulie KavnerFrank CoraciComedy Drama Fantasy Romance
Brad Peyton,Jack McBrayer,Sean Hayes,Katt Williams,Action Comedy Family Fantasy,cats & dogs: the revenge of kitty galore,Jack McBrayerSean HayesKatt WilliamsBrad PeytonAction Comedy Family Fantasy
Doug Liman,Kristen Stewart,Hayden Christensen,Tom Hulce,Action Adventure Sci-Fi Thriller,jumper,Kristen StewartHayden ChristensenTom HulceDoug LimanAction Adventure Sci-Fi Thriller
Guillermo del Toro,Seth MacFarlane,Iván Kamarás,Brian Steele,Action Adventure Fantasy Horror Sci-Fi,hellboy ii: the golden army,Seth MacFarlaneIván KamarásBrian SteeleGuillermo del ToroAction Adventure Fantasy Horror Sci-Fi
David Fincher,Robert Downey Jr.,Jake Gyllenhaal,Anthony Edwards,Crime Drama History Mystery Thriller,zodiac,Robert Downey Jr.Jake GyllenhaalAnthony EdwardsDavid FincherCrime Drama History Mystery Thriller
Roger Spottiswoode,Robert Duvall,Michael Rapaport,Tony Goldwyn,Action Mystery Sci-Fi Thriller,the 6th day,Robert DuvallMichael RapaportTony GoldwynRoger SpottiswoodeAction Mystery Sci-Fi Thriller
